subject_id,enrolled_date,sex_status,spay_neuter_date,study_status,birth_date,withdrawn_date,inactive_date,death_date,is_euthanized,coat_color
grlsTK54KUWW,2013-04,Spayed Female,2013-03,Withdrawn,2012-09,2020-03,,,0.0,blonde
grls5I3MV99,2013-04,Neutered Male,2013-09,Enrolled,2012-08,,,,0.0,blonde
grlsPRRFU5WW,2013-04,Spayed Female,2016-04,Enrolled,2012-02,,,,0.0,light golden
grlsJCVWWRMM,2013-04,Neutered Male,2013-04,Enrolled,2012-04,,,,0.0,dark golden
grlsY7QXGVLL,2013-04,Spayed Female,2012-07,Enrolled Deceased,2012-01,,,2018-06,0.0,dark golden
grls66CMWWXX,2013-04,Spayed Female,2012-10,Enrolled,2011-10,,,,0.0,dark golden
grlsQLVJS777,2013-04,Spayed Female,2011-10,Enrolled Deceased,2011-03,,,2022-08,0.0,medium golden
grls87P8Z7OO,2013-04,Spayed Female,2013-07,Enrolled Deceased,2012-04,,,2024-12,1.0,medium golden
grlsX03TLECC,2013-04,Intact Male,,Enrolled,2012-02,,,,0.0,light golden
grlsTHRCRX22,2013-04,Spayed Female,2013-12,Inactive,2011-11,,2021-03,,0.0,light golden
grlsRC2T9DEE,2013-04,Spayed Female,2013-03,Enrolled Deceased,2012-09,,,2023-12,1.0,light golden
grlsH8UP2NNN,2013-04,Spayed Female,2012-04,Inactive,2011-04,,2014-03,,0.0,medium golden
grls4QMUYS99,2013-04,Spayed Female,2012-03,Enrolled Deceased,2011-04,,,2018-10,0.0,light golden
grlsG50LXUU,2013-04,Spayed Female,2020-08,Enrolled,2012-04,,,,0.0,light golden
grlsDQLYSSZZ,2013-04,Neutered Male,2012-10,Enrolled Deceased,2011-11,,,2023-12,1.0,light golden
grlsYC4IWSHH,2013-04,Neutered Male,2017-06,Enrolled Deceased,2011-03,,,2023-09,1.0,medium golden
grls33E7KL55,2013-04,Neutered Male,2013-11,Enrolled,2012-10,,,,0.0,medium golden
grlsOG44L9UU,2013-04,Spayed Female,2012-11,Enrolled,2012-01,,,,0.0,dark golden
grlsXIMHBKPP,2013-04,Spayed Female,2012-11,Enrolled Deceased,2012-05,,,2022-11,0.0,light golden
grlsHB6CMDKK,2013-03,Intact Female,,Inactive,2011-04,,2017-04,,0.0,red
grlsPBXYI200,2013-04,Spayed Female,2012-10,Enrolled Deceased,2012-04,,,2024-09,0.0,blonde
grls3WMNIFDD,2013-03,Neutered Male,2013-01,Inactive,2012-04,,2024-03,,0.0,light golden
grlsBP3I7F55,2013-05,Spayed Female,2012-06,Enrolled,2012-01,,,,0.0,light golden
grlsF73DD644,2013-05,Neutered Male,2015-08,Enrolled Deceased,2010-05,,,2022-01,1.0,dark golden
grlsC7EYGG66,2013-05,Spayed Female,2018-01,Enrolled Deceased,2011-10,,,2023-06,1.0,medium golden
grls1RGNUZHH,2013-05,Spayed Female,2013-03,Inactive,2011-12,,2014-01,,0.0,blonde
grlsFD8D0QRR,2013-05,Intact Male,,Enrolled Deceased,2011-09,,,2022-07,1.0,dark golden
grlsLDVP4ZGG,2013-05,Intact Female,,Withdrawn,2011-09,2015-01,,,0.0,red
grls935EGNN,2013-05,Spayed Female,2012-12,Enrolled,2012-05,,,,0.0,light golden
