subject_id,year_in_study,record_date,substance,PoisonControlLastYear,PoisonControlMoreThanTwice,lifespan
grlsDBAQYDVV,0,2014-02,medication - vyvanse,1,0,
grlsDEMKZM88,0,2014-02,rodent poison,1,0,
grlsDGZD63NN,1,2014-03,medication - glucosamine,1,0,8.83230663928816
grlsDIJ7PCCC,1,2015-02,"mineral spirits, wood stain",1,0,8.41889117043121
grlsDLTFLPZZ,0,2014-02,chocolate,1,0,
grlsDLTFLPZZ,2,2016-05,fire extinguisher,1,0,
grlsDLTFLPZZ,3,2017-05,fire extinguisher,1,0,
grlsDNITGKFF,2,2016-09,live bird,1,0,9.336071184120465
grlsDNITGKFF,3,2017-08,live bird,1,0,9.336071184120465
grlsDOVQ9OJJ,0,2013-07,bottle cap,1,0,
grlsDP2KHHRR,6,2021-03,unknown,1,0,
grlsDUX7BEHH,1,2014-12,juneberry,1,0,11.249828884325805
grlsE2Q6OBTT,2,2014-11,rodent poison,1,0,10.50239561943874
grlsE35J4WSS,0,2012-11,dark chocolate,1,0,12.588637919233403
grlsE3HO8RII,6,2018-12,raisins,1,0,12.082135523613964
grlsE71JILHH,0,2014-03,unknown,1,0,8.922655715263518
grlsE71JILHH,3,2017-07,aluminum,1,0,8.922655715263518
grlsE9MPH2YY,1,2013-08,bacon grease,1,0,8.24914442162902
grlsE9SB7KFF,2,2015-09,"clothing - sock, clothing - underwear",1,0,8.919917864476385
grlsEI1W4ZQQ,2,2015-10,aluminum,1,0,
grlsELLCG2EE,0,2015-01,baking chocolate,1,0,
grlsEO82XEOO,0,2015-01,toilet bowl cleaner,1,0,10.412046543463381
grlsEO82XEOO,1,2016-01,toilet bowl cleaner,1,0,10.412046543463381
grlsEQTN7K,0,2014-12,aluminum,1,0,
grlsEQTN7K,3,2018-03,lotion,1,0,
grlsER7M411,4,2017-06,xylitol,1,0,
grlsER7M411,5,2018-08,xylitol,1,0,
grlsEU20O6AA,0,2014-12,rodent poison,1,0,9.91375770020534
grlsEVTHEN99,0,2014-05,unknown,1,0,
grlsEVTHEN99,1,2015-03,medication - diabetes medication,1,0,
grlsEYJWKWMM,0,2014-10,unknown,1,0,
grlsF2UZT400,0,2014-04,wild mushroom - unspecified,1,0,8.334017796030116
grlsF32GK0RR,2,2015-10,rodent poison,1,0,
grlsFCNSH9CC,0,2013-07,cushion/bed foam,1,0,
grlsFIKPBYOO,1,2015-07,clothing - shoe lace,1,0,
grlsFKMMUW55,2,2016-05,unknown,1,0,11.331964407939767
grlsFMCUG5FF,4,2018-05,fitbit,1,0,12.752908966461328
grlsFMNORXX,0,2014-10,clothing - sock,1,0,
grlsFQJHE177,2,2017-02,xylitol,1,0,
grlsFSBDGO11,2,2016-03,"medication - aspirin, medication - diltiazem (240mg er), medication - lisinopril (5mg), medication - triamterene (75mg), medication - hydrochlorothiazide (50mg)",1,0,9.579739904175222
grlsFU3W5C33,1,2014-09,medication - ibuprofen,1,0,
grlsFURN9XVV,6,2019-07,insect poison,1,0,9.998631074606434
grlsFVH2VFOO,3,2017-04,mold,1,0,
grlsFY8KSI00,1,2014-10,raisins,1,0,12.58590006844627
grlsG12H8UBB,1,2014-09,medication - rimadyl,1,0,
grlsG12H8UBB,2,2015-10,"blue-green algae, medication - rimadyl",1,0,
grlsG2JULRR,0,2012-05,unknown,1,0,
grlsG8CEWDGG,1,2013-07,dark chocolate,1,0,
grlsGHZTRXLL,3,2016-01,chocolate,1,0,7.915126625598905
grlsGJF1SXX,1,2015-05,fertilizer,1,0,10.50239561943874
grlsGJUFN7II,0,2013-08,candle,1,0,10.669404517453799
grlsGNSPADYY,6,2020-12,medication - wellbutrin (x1),1,0,10.250513347022586
grlsGPIRLHQQ,0,2014-11,medication - lotrel,1,0,
