subject_id,year_in_study,record_date,state,travel_length_weeks,travel_start_month,regular_work_visits,work_visit_hours,work_visit_days,type,travel_mode,travel_mode_other,country,region_name
grls0HAV8G99,6,2020-07,MS,1.5,February,0,0,0,,Unknown,,,
grls0HAV8G99,6,2020-07,MS,1.5,February,0,0,0,other,Car,,,
grls0HAV8G99,7,2021-07,MS,1.2,May,0,0,0,,Unknown,,,
grls0HAV8G99,7,2021-07,MS,1.2,May,0,0,0,other,Car,,,
grls0HJ94YAA,1,2015-03,PA,39.0,January,0,0,0,other (possibly kennel),Unknown,,US,Northeast
grls0HJ94YAA,3,2017-04,PA,2.0,December,0,0,0,other,Car,,US,Northeast
grls0HJ94YAA,3,2017-04,PA,0,,0,0,0,other,Unknown,,US,Northeast
grls0IBIS0GG,4,2016-06,FL,0,,0,0,0,kennel,Unknown,,US,South
grls0IBIS0GG,4,2016-06,FL,2.0,February,0,0,0,kennel,Car,,US,South
grls0IBIS0GG,4,2016-06,FL,3.0,June,0,0,0,kennel,Car,,US,South
grls0IBIS0GG,4,2016-06,FL,0,,0,0,0,kennel,Unknown,,US,South
grls0IBIS0GG,4,2016-06,FL,2.0,February,0,0,0,kennel,Car,,US,South
grls0IBIS0GG,4,2016-06,FL,3.0,June,0,0,0,kennel,Car,,US,South
grls0IBIS0GG,6,2018-07,FL,3.0,March,0,0,0,other,Car,,US,South
grls0IBIS0GG,6,2018-07,FL,2.0,October,0,0,0,other,Car,,US,South
grls0IBIS0GG,6,2018-07,FL,0,,0,0,0,other,Unknown,,US,South
grls0IBIS0GG,6,2018-07,FL,3.0,March,0,0,0,other,Car,,US,South
grls0IBIS0GG,6,2018-07,FL,2.0,October,0,0,0,other,Car,,US,South
grls0IBIS0GG,6,2018-07,FL,0,,0,0,0,other,Unknown,,US,South
grls0LSLKO,3,2016-06,PA,0,,1,4.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,5.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,4.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,5.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,4.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,5.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,4.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,3,2016-06,PA,0,,1,5.0,3.0,work,Unknown,,US,Northeast
grls0LSLKO,4,2017-06,PA,0,,1,4.0,2.0,work,Unknown,,US,Northeast
