subject_id,year_in_study,record_date,spent_most_time_day,indoor_crate_flooring,indoor_carpet_flooring,indoor_hardwood_flooring,indoor_cement_flooring,indoor_tile_flooring,indoor_linoleum_flooring,indoor_laminate_flooring,indoor_furniture_flooring,indoor_other_flooring,indoor_other_flooring_specify,day_outdoor_garage,day_outdoor_kennel,day_outdoor_fenced,day_outdoor_chain_or_lead,day_outdoor_other_percentage,day_outdoor_other_percentage_specify,day_outdoor_total_percentage,furniture_type_wood,furniture_type_leather,furniture_type_upholstered,furniture_type_other,furniture_type_other_specify
grlsKM12EY11,3,2017-04,Indoors,0,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKMWCZ366,0,2012-11,Indoors,1,1,1,0,1,0,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKMWCZ366,1,2014-01,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKMWCZ366,2,2015-02,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKMWCZ366,3,2016-03,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKMWCZ366,4,2017-02,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,1,1,0,
grlsKMWCZ366,5,2018-01,Indoors,0,1,1,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,1,1,0,
grlsKN18HQ44,0,2013-12,Indoors,1,1,1,0,0,1,1,1,1,plastic,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKN18HQ44,1,2015-01,Indoors,1,1,1,0,0,1,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKN18HQ44,2,2016-01,Indoors,0,1,1,0,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,1,0,1,0,
grlsKN18HQ44,3,2017-01,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKN18HQ44,4,2018-01,Indoors,0,0,1,1,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKN18HQ44,5,2019-01,Indoors,0,1,1,1,0,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKN18HQ44,6,2020-01,Indoors,0,0,1,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKOFQ3044,0,2012-05,Indoors,0,1,0,0,1,1,1,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKOFQ3044,1,2013-06,Indoors,0,1,0,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKOFQ3044,2,2014-04,Indoors,0,1,0,0,1,0,1,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKOFQ3044,3,2015-05,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKOFQ3044,4,2016-06,Indoors,0,0,0,0,1,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,0,
grlsKOFQ3044,5,2017-05,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
grlsKOFQ3044,6,2018-05,Indoors,0,0,0,0,1,0,0,1,0,,0.0,0.0,0.0,0.0,0.0,,0.0,0,0,1,0,
